,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,654885.7142857143,666106.3829787234,661333.3333333333,657275.0,664339.6226415094,662784.3137254902,660027.7777777778,709227.2727272727,740882.3529411765,721423.0769230769,722560.9756097562,725600.0,717750.0,716425.0,713218.75,717629.6296296295,733200.0,786951.2195121952,783794.1176470588,801166.6666666666,779735.2941176471,824411.7647058824,810857.1428571428,824500.0,830435.8974358975
1,488352.9411764706,492977.77777777775,486153.8461538462,489810.81081081077,485224.48979591834,489775.0,480280.0,516722.2222222222,534000.0,532312.5,517714.28571428574,518029.4117647059,524193.5483870968,521700.0,521520.0,522700.0,532304.347826087,550709.6774193548,545192.3076923076,541409.0909090908,539720.0,561000.0,561884.6153846154,569034.4827586208,565133.3333333334
2,172966.66666666666,171925.0,171264.70588235295,170702.7027027027,171479.1666666667,172125.0,171076.92307692306,186375.0,187076.92307692306,187666.66666666666,189896.55172413794,188114.2857142857,188242.42424242425,189062.5,185370.37037037036,191227.2727272727,188730.76923076922,215600.0,214428.57142857142,216142.85714285713,211499.99999999997,222761.90476190476,218619.0476190476,224521.7391304348,226590.90909090906
3,16176.470588235294,16272.727272727272,15947.368421052632,16000.0,16342.857142857143,16416.666666666668,16800.0,17000.0,16500.0,16714.285714285714,17750.0,17866.666666666668,17125.0,18076.923076923078,17333.333333333332,17500.0,17153.846153846152,19000.0,18000.0,18823.529411764706,18823.529411764706,19333.333333333332,19466.666666666668,19692.30769230769,19800.0
4,59761.904761904756,59821.42857142857,58285.71428571428,58407.4074074074,58815.78947368421,57966.666666666664,59380.95238095238,74500.0,75833.33333333334,74000.0,69857.14285714286,71875.0,72400.0,72666.66666666667,72315.78947368421,71733.33333333333,71111.11111111111,83086.95652173914,84277.77777777778,83062.5,85937.5,87333.33333333333,86882.35294117648,85550.0,89700.0
5,14058.823529411766,14227.272727272726,14526.315789473685,14238.095238095237,14571.428571428572,14368.42105263158,15000.0,16750.0,16600.0,18250.0,17857.14285714286,17238.095238095237,17388.888888888887,17631.578947368424,18181.81818181818,18000.0,17466.666666666668,21187.5,21666.666666666668,21000.0,21444.444444444445,21909.090909090908,21777.777777777777,22100.0,21700.0
6,17090.909090909092,17187.5,17583.333333333336,17458.333333333336,17545.454545454548,17318.181818181816,16636.363636363636,19000.0,19200.0,21250.0,20777.777777777777,20739.13043478261,20857.142857142855,20772.727272727272,20733.333333333332,21750.0,20375.0,22850.0,23500.0,23777.777777777777,24200.0,24545.454545454544,23416.666666666668,23538.46153846154,23461.53846153846
7,19550.0,19720.0,20333.333333333332,19833.333333333332,20179.48717948718,19875.0,20100.0,21133.333333333332,21000.0,20066.666666666668,20750.0,20862.068965517243,20461.53846153846,20392.857142857145,20772.727272727272,20533.333333333332,20100.0,22433.333333333332,21913.04347826087,22375.0,22107.14285714286,22888.888888888887,22999.999999999996,22538.46153846154,22680.0
8,47305.555555555555,47714.28571428571,46968.75,47870.967741935485,47571.42857142857,48250.0,47357.14285714286,59866.666666666664,56999.99999999999,57086.956521739135,57694.444444444445,58162.16216216216,58176.470588235294,58806.45161290323,56880.0,58388.88888888889,58500.0,63433.333333333336,63454.54545454545,65894.73684210527,63499.99999999999,66958.33333333334,67130.4347826087,67600.0,67538.46153846153
9,108560.9756097561,108306.45161290323,108482.75862068965,107903.84615384616,108036.36363636363,107265.30612244896,106441.17647058824,126380.95238095238,123200.0,129611.11111111111,125035.71428571429,127090.9090909091,129030.30303030304,128514.28571428571,125818.18181818182,125793.10344827587,126823.52941176471,151515.15151515152,155884.61538461538,155230.76923076922,150903.2258064516,165516.12903225806,164032.25806451612,165058.82352941178,162968.75
10,123200.0,121760.0,121789.47368421053,121525.0,121355.93220338982,121192.98245614035,121483.87096774194,132045.45454545453,133066.66666666666,133047.61904761905,133903.2258064516,133175.0,131027.02702702703,131342.85714285713,132535.7142857143,132360.0,134666.66666666666,142116.27906976745,145900.0,145240.0,143354.83870967742,143750.0,145307.6923076923,144750.0,148250.0
11,103081.63265306121,103825.39682539683,102745.45454545454,102106.3829787234,103735.84905660378,102625.0,103741.93548387097,96416.66666666667,99499.99999999999,98592.59259259258,98891.8918918919,97080.0,97800.0,97487.80487804879,98351.35135135135,99161.29032258064,97200.0,93957.44680851063,93627.90697674418,94710.52631578948,93975.60975609758,100378.37837837837,98794.8717948718,98675.0,99547.61904761904
12,124310.34482758622,133128.20512820513,131205.88235294117,135062.5,133692.3076923077,131666.66666666666,133285.7142857143,141437.5,142307.6923076923,136666.66666666666,137769.23076923075,138714.2857142857,139444.44444444444,140032.25806451612,140769.23076923075,136250.0,139000.0,147108.1081081081,146937.5,144310.3448275862,146172.41379310345,150500.0,146785.7142857143,148806.4516129032,150290.32258064515
13,38055.555555555555,37469.38775510204,37142.85714285714,37750.0,37839.28571428572,37339.28571428572,38057.142857142855,39521.739130434784,39473.68421052632,38260.86956521739,39161.290322580644,39236.84210526316,38631.57894736842,38833.333333333336,39370.370370370365,39520.0,39520.0,41650.0,42259.259259259255,41720.0,41100.0,43967.74193548387,43757.57575757576,44000.0,44083.333333333336
14,25875.0,25741.935483870966,25904.761904761905,26428.571428571428,25481.481481481478,26375.0,26666.666666666668,27800.0,29200.0,27153.846153846152,27681.81818181818,27750.0,28130.4347826087,27708.333333333336,28263.157894736843,28133.333333333332,28842.105263157897,29173.913043478264,29105.263157894737,30000.0,30222.222222222223,31222.222222222223,30100.0,29952.38095238095,30500.0
15,6937.5,6882.352941176471,6888.888888888889,6923.076923076923,6950.0,7000.0,6833.333333333334,8000.0,7666.666666666667,8200.0,7714.285714285715,7550.0,7294.117647058823,7470.588235294118,7461.538461538461,7545.454545454545,7750.0,8428.57142857143,8600.0,8833.333333333334,8529.411764705883,9000.0,9000.0,8923.076923076922,9214.285714285716
16,215379.3103448276,219513.5135135135,218000.0,216354.83870967742,218111.11111111112,219416.66666666666,215307.6923076923,244055.55555555556,252000.0,237263.15789473685,245071.42857142858,239382.35294117648,240937.5,239266.66666666666,242375.0,239263.15789473685,244500.0,269138.8888888889,264296.2962962963,269333.3333333334,266321.4285714286,276423.07692307694,277333.3333333334,272428.5714285714,281370.37037037034
17,89750.0,91181.81818181818,89636.36363636363,88346.15384615384,89937.5,90628.57142857143,88565.21739130435,105750.0,99750.0,100846.15384615384,104235.29411764706,99708.33333333334,103545.45454545454,101727.27272727272,100750.0,103615.38461538461,99235.29411764706,111500.0,108055.55555555555,109388.88888888889,111800.0,111350.0,109350.0,109000.0,111421.05263157895
18,272714.28571428574,275972.97297297296,272600.0,276705.8823529412,276530.61224489793,273973.68421052635,272888.8888888889,300176.4705882353,303846.1538461538,308647.0588235294,302562.5,307842.1052631579,308222.2222222222,305970.5882352941,311148.14814814815,300520.0,301379.3103448276,344777.77777777775,346400.0,344793.1034482759,347677.4193548387,358612.9032258064,359161.2903225806,362088.23529411765,360628.5714285714
19,108291.66666666667,107030.30303030304,106535.71428571429,105656.25,107666.66666666667,107772.72727272726,106071.42857142858,126312.5,125166.66666666667,122052.63157894737,124464.28571428572,124617.64705882354,123848.48484848485,124375.0,125560.0,122142.85714285714,123500.0,142742.85714285713,141384.61538461538,143636.36363636362,140111.1111111111,151925.92592592593,151240.0,149586.20689655174,152576.92307692306
20,140209.67741935485,140025.64102564103,140067.56756756757,140117.64705882352,140043.47826086957,139134.83146067415,139953.125,148191.48936170212,146685.7142857143,146578.94736842107,148127.65957446807,149211.53846153847,147181.81818181818,147830.50847457626,148418.18181818182,147775.51020408163,147352.9411764706,159555.55555555553,160500.0,160959.18367346938,162076.92307692306,168306.1224489796,166478.26086956522,169285.7142857143,168925.0
21,317966.6666666667,316012.34567901236,317415.5844155844,315753.4246575342,317819.2771084337,315333.3333333333,320313.7254901961,336638.8888888889,329724.1379310345,335281.25,332627.9069767442,330472.7272727273,332120.6896551724,332314.8148148148,336191.4893617021,335951.21951219515,335630.4347826087,371018.1818181818,371529.4117647059,376244.89795918367,374735.8490566038,398921.568627451,400000.0,400784.31372549024,397538.4615384615
