1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
16176.4705882353,16272.7272727273,15947.3684210526,16000,16342.8571428571,16416.6666666667,16800,17000,16500,16714.2857142857,17750,17866.6666666667,17125,18076.9230769231,17333.3333333333,17500,17153.8461538462,19000,18000,18823.5294117647,18823.5294117647,19333.3333333333,19466.6666666667,19692.3076923077,19800
16176.4705882353,16272.7272727273,15947.3684210526,16000,16342.8571428571,16416.6666666667,16800,17000,16500,16714.2857142857,17750,17866.6666666667,17125,18076.9230769231,17333.3333333333,17500,17153.8461538462,19000,18000,18823.5294117647,18823.5294117647,19333.3333333333,19466.6666666667,19692.3076923077,19800
59761.9047619048,59821.4285714286,58285.7142857143,58407.4074074074,58815.7894736842,57966.6666666667,59380.9523809524,74500,75833.3333333333,74000,69857.1428571429,71875,72400,72666.6666666667,72315.7894736842,71733.3333333333,71111.1111111111,83086.9565217391,84277.7777777778,83062.5,85937.5,87333.3333333333,86882.3529411765,85550,89700
59761.9047619048,59821.4285714286,58285.7142857143,58407.4074074074,58815.7894736842,57966.6666666667,59380.9523809524,74500,75833.3333333333,74000,69857.1428571429,71875,72400,72666.6666666667,72315.7894736842,71733.3333333333,71111.1111111111,83086.9565217391,84277.7777777778,83062.5,85937.5,87333.3333333333,86882.3529411765,85550,89700
59761.9047619048,59821.4285714286,58285.7142857143,58407.4074074074,58815.7894736842,57966.6666666667,59380.9523809524,74500,75833.3333333333,74000,69857.1428571429,71875,72400,72666.6666666667,72315.7894736842,71733.3333333333,71111.1111111111,83086.9565217391,84277.7777777778,83062.5,85937.5,87333.3333333333,86882.3529411765,85550,89700
14058.8235294118,14227.2727272727,14526.3157894737,14238.0952380952,14571.4285714286,14368.4210526316,15000,16750,16600,18250,17857.1428571429,17238.0952380952,17388.8888888889,17631.5789473684,18181.8181818182,18000,17466.6666666667,21187.5,21666.6666666667,21000,21444.4444444444,21909.0909090909,21777.7777777778,22100,21700
14058.8235294118,14227.2727272727,14526.3157894737,14238.0952380952,14571.4285714286,14368.4210526316,15000,16750,16600,18250,17857.1428571429,17238.0952380952,17388.8888888889,17631.5789473684,18181.8181818182,18000,17466.6666666667,21187.5,21666.6666666667,21000,21444.4444444444,21909.0909090909,21777.7777777778,22100,21700
14058.8235294118,14227.2727272727,14526.3157894737,14238.0952380952,14571.4285714286,14368.4210526316,15000,16750,16600,18250,17857.1428571429,17238.0952380952,17388.8888888889,17631.5789473684,18181.8181818182,18000,17466.6666666667,21187.5,21666.6666666667,21000,21444.4444444444,21909.0909090909,21777.7777777778,22100,21700
17090.9090909091,17187.5,17583.3333333333,17458.3333333333,17545.4545454546,17318.1818181818,16636.3636363636,19000,19200,21250,20777.7777777778,20739.1304347826,20857.1428571429,20772.7272727273,20733.3333333333,21750,20375,22850,23500,23777.7777777778,24200,24545.4545454545,23416.6666666667,23538.4615384615,23461.5384615385
17090.9090909091,17187.5,17583.3333333333,17458.3333333333,17545.4545454546,17318.1818181818,16636.3636363636,19000,19200,21250,20777.7777777778,20739.1304347826,20857.1428571429,20772.7272727273,20733.3333333333,21750,20375,22850,23500,23777.7777777778,24200,24545.4545454545,23416.6666666667,23538.4615384615,23461.5384615385
17090.9090909091,17187.5,17583.3333333333,17458.3333333333,17545.4545454546,17318.1818181818,16636.3636363636,19000,19200,21250,20777.7777777778,20739.1304347826,20857.1428571429,20772.7272727273,20733.3333333333,21750,20375,22850,23500,23777.7777777778,24200,24545.4545454545,23416.6666666667,23538.4615384615,23461.5384615385
19550,19720,20333.3333333333,19833.3333333333,20179.4871794872,19875,20100,21133.3333333333,21000,20066.6666666667,20750,20862.0689655172,20461.5384615385,20392.8571428571,20772.7272727273,20533.3333333333,20100,22433.3333333333,21913.0434782609,22375,22107.1428571429,22888.8888888889,23000,22538.4615384615,22680
19550,19720,20333.3333333333,19833.3333333333,20179.4871794872,19875,20100,21133.3333333333,21000,20066.6666666667,20750,20862.0689655172,20461.5384615385,20392.8571428571,20772.7272727273,20533.3333333333,20100,22433.3333333333,21913.0434782609,22375,22107.1428571429,22888.8888888889,23000,22538.4615384615,22680
19550,19720,20333.3333333333,19833.3333333333,20179.4871794872,19875,20100,21133.3333333333,21000,20066.6666666667,20750,20862.0689655172,20461.5384615385,20392.8571428571,20772.7272727273,20533.3333333333,20100,22433.3333333333,21913.0434782609,22375,22107.1428571429,22888.8888888889,23000,22538.4615384615,22680
47305.5555555556,47714.2857142857,46968.75,47870.9677419355,47571.4285714286,48250,47357.1428571429,59866.6666666667,57000,57086.9565217391,57694.4444444445,58162.1621621622,58176.4705882353,58806.4516129032,56880,58388.8888888889,58500,63433.3333333333,63454.5454545455,65894.7368421053,63500,66958.3333333333,67130.4347826087,67600,67538.4615384615
