info	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
T,Y25-74,PC_ACT,BG	: 	: 	: 	: 	: 	14.5	17.4	16.3	12.4	10.8	9	27.9 i	6.2	5	6.1	9.2 i	10.1	11	11.8	10.7	8.4	7.1
T,Y25-74,PC_ACT,CY	: 	: 	: 	: 	: 	4.2	3.4	3	3.6	4.0 i	4.3	28.9 i	3.3	3.1	4.4	5.1	6.4	10.2	13.6	14	13.2	11.5
T,Y25-74,PC_ACT,CZ	3.3	3.2	4.1	5.3	7.2	7.4	6.9	6.2	6.6	7	6.8	29.9 i	4.8	3.9	5.8	6.4	5.9	6	6.1	5.4	4.5	3.5
T,Y25-74,PC_ACT,DE	8.1	8.8	9.5	9.3	8.5	7.9	7.7	8.5	9.5	10	10.6 i	30.9 i	8.1	7	7.2	6.6	5.5	5.1	4.9	4.7	4.4	3.8
T,Y25-74,PC_ACT,DK	6.1	5.6	4.7	4.4	4.4	4	3.9	4.1	4.8	5.1	4.2	31.9 i	3.2	2.6	4.9	6.3	6.3	6.3	5.9	5.5	5.3	5.1
T,Y25-74,PC_ACT,EE	: 	: 	: 	: 	: 	13.4	11.9	10.5	9	8.4	7.2	32.9 i	3.9	4.6 i	11.9	14.9	11.2	8.9	7.6	6.7	5.6	6.2
T,Y25-74,PC_ACT,EL	: 	: 	: 	8.2	9.1	8.7	8.5	8.4	7.9 i	8.8	8.4	33.9 i	7.2	6.6	8.4	11.2	15.9	22.3	25.4	24.8	23.4	22.2
T,Y25-74,PC_ACT,ES	17.1 i	16.4	15.3	13.7	11.4	10.1	8.9	9.8	9.9	9.5	7.7	34.9 i	7	9.7	15.7	17.8	19.2	22.5	23.8	22.3	20.2	17.9
T,Y25-74,PC_ACT,FI	13.7	13	11	9.7	8.6	8.1	7.6	7.4	7.2	7.2	6.8	35.9 i	5.4	4.9	6.4	6.6	6.1	6.1	6.5	7	7.6	7.3
T,Y25-74,PC_ACT,FR	6.2 i	6.3	6.3	6.1	6	5.2	4.8	4.7	7.3	7.5	7.4	36.9 i	6.7	6.1	7.4	7.7	7.7	8.2	8.8	8.9	8.9	8.6
T,Y25-74,PC_ACT,HR	: 	: 	: 	: 	: 	12.2	12.3	12.1	11.3	11.3	10.6	37.9 i	8.2	6.9	7.6	9.6	11.5	13.4	14.6	14.6	13.7	11.4
