info	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL,PC_ACT,T,ES	15.5	15.5	17	20.8	22	20.7	19.9	18.4	16.4	13.6	11.9	10.6	11.5	11.5	11	9.2	8.5	8.2	11.3	17.9	19.9	21.4	24.8	26.1	24.5	22.1	19.6
TOTAL,PC_ACT,T,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.8	8.6	8.9	9.1	9.2	9	8.2	7.2	7	9	9.6	9.6	10.4	10.8	10.2	9.4	8.5
TOTAL,PC_ACT,T,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9	8.7	9	9.2	9.3	9	8.2	7.2	7	9	9.6	9.7	10.5	10.9	10.2	9.4	8.6
TOTAL,PC_ACT,T,FI	3.2	6.6	11.7	16.3	16.6	15.4	14.6	12.7	11.4	10.2	9.8	9.1	9.1	9	8.8	8.4	7.7	6.9	6.4	8.2	8.4	7.8	7.7	8.2	8.7	9.4	8.8
TOTAL,PC_ACT,T,FR	7.9	8.1	9	10.1	10.4	10.2	10.5	10.7	10.3	10	8.6	7.8	7.9	8.5	8.9	8.9	8.8	8	7.4	9.1	9.3	9.2	9.8	10.3	10.3	10.4	10.1
TOTAL,PC_ACT,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.6	16	15.3	14.1	13.8	13	11.6	9.9	8.6	9.3	11.8	13.7	15.8	17.4	17.2	16.1	13.4
TOTAL,PC_ACT,T,HU	: 	: 	: 	: 	: 	: 	9.9	9.1	8.7	6.9	6.3	5.6	5.6	5.8	6.1	7.2	7.5	7.4	7.8	10	11.2	11	11	10.2	7.7	6.8	5.1
TOTAL,PC_ACT,T,IE	13.4	14.7	15.4	15.6	14.3	12.3	11.7	9.9	7.5	5.6	4.3	3.9	4.5	4.6	4.5	4.4	4.5	4.7	6.4	12	13.9	14.7	14.7	13.1	11.3	9.4	7.9
TOTAL,PC_ACT,T,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3	3.1	2.6	2.9	2.3	3	7.2	7.6	7.1	6	5.4	5	4	3
TOTAL,PC_ACT,T,IT	8.9	8.5	8.8	9.7	10.6	11.2	11.2	11.2	11.3	10.9	10	9	8.5	8.4	8	7.7	6.8	6.1	6.7	7.7	8.4	8.4	10.7	12.1	12.7	11.9	11.7
TOTAL,PC_ACT,T,JP	2.1	2.1	2.2	2.5	2.9	3.1	3.4	3.4	4.1	4.7	4.7	5	5.4	5.3	4.7	4.4	4.1	3.8	4	5.1	5	4.6	4.3	4	3.6	3.4	3.1
TOTAL,PC_ACT,T,LT	: 	: 	: 	: 	: 	: 	: 	: 	13.2	14.6	16.4	17.4	13.8	12.4	10.9	8.3	5.8	4.3	5.8	13.8	17.8	15.4	13.4	11.8	10.7	9.1	7.9
TOTAL,PC_ACT,T,LU	1.7	1.6	2.1	2.6	3.2	2.9	2.9	2.7	2.7	2.4	2.2	1.9	2.6	3.8	5	4.6	4.6	4.2	4.9	5.1	4.6	4.8	5.1	5.9	6	6.5	6.3
